submission_id	submission_date	host	tester	arch	product	release	related	status	comment	rpm_config_id	hwinfo_id	type	ref	testsuite↓	tcf_id
11991	2016-03-29 03:45:42	ix64ph1054	hamsta-default	x86_64	SLES-12-SP0	GM			3.12.55-52.42-default	1310	8611	prod		bonnie++_async_ext3	12152
11938	2016-03-28 23:45:49	ix64ph1054	hamsta-default	x86_64	SLES-12-SP0	GM			3.12.55-52.42-default	1310	8596	prod		bonnie++_async_ext3	12099
11934	2016-03-28 22:41:42	ix64ph1054	hamsta-default	x86_64	SLES-12-SP0	GM			3.12.55-52.42-default	1310	8592	prod		bonnie++_async_ext3	12095
11928	2016-03-28 21:38:29	ix64ph1054	hamsta-default	x86_64	SLES-12-SP0	GM			3.12.55-52.42-default	1310	8588	prod		bonnie++_async_ext3	12089
12003	2016-03-29 04:44:07	ix64ph1054	hamsta-default	x86_64	SLES-12-SP0	GM			3.12.55-52.42-default	1310	8616	prod		bonnie++_async_ext4	12164
11978	2016-03-29 02:40:41	ix64ph1054	hamsta-default	x86_64	SLES-12-SP0	GM			3.12.55-52.42-default	1310	8607	prod		bonnie++_async_ext4	12139
11964	2016-03-29 01:41:57	ix64ph1054	hamsta-default	x86_64	SLES-12-SP0	GM			3.12.55-52.42-default	1310	8604	prod		bonnie++_async_ext4	12125
11949	2016-03-29 00:43:54	ix64ph1054	hamsta-default	x86_64	SLES-12-SP0	GM			3.12.55-52.42-default	1310	8599	prod		bonnie++_async_ext4	12110
12089	2016-03-29 12:06:49	ix64ph1054	hamsta-default	x86_64	SLES-12-SP0	GM			3.12.55-52.42-default	1310	8646	prod		bonnie++_fsync_ext3	12250
12041	2016-03-29 07:58:34	ix64ph1054	hamsta-default	x86_64	SLES-12-SP0	GM			3.12.55-52.42-default	1310	8629	prod		bonnie++_fsync_ext3	12202
12031	2016-03-29 06:53:57	ix64ph1054	hamsta-default	x86_64	SLES-12-SP0	GM			3.12.55-52.42-default	1310	8626	prod		bonnie++_fsync_ext3	12192
12016	2016-03-29 05:49:34	ix64ph1054	hamsta-default	x86_64	SLES-12-SP0	GM			3.12.55-52.42-default	1310	8620	prod		bonnie++_fsync_ext3	12177
12106	2016-03-29 13:07:55	ix64ph1054	hamsta-default	x86_64	SLES-12-SP0	GM			3.12.55-52.42-default	1310	8653	prod		bonnie++_fsync_ext4	12267
12077	2016-03-29 11:01:49	ix64ph1054	hamsta-default	x86_64	SLES-12-SP0	GM			3.12.55-52.42-default	1310	8642	prod		bonnie++_fsync_ext4	12238
12065	2016-03-29 10:00:15	ix64ph1054	hamsta-default	x86_64	SLES-12-SP0	GM			3.12.55-52.42-default	1310	8639	prod		bonnie++_fsync_ext4	12226
12049	2016-03-29 08:59:30	ix64ph1054	hamsta-default	x86_64	SLES-12-SP0	GM			3.12.55-52.42-default	1310	8633	prod		bonnie++_fsync_ext4	12210
12255	2016-03-30 05:42:05	ix64ph1054	hamsta-default	x86_64	SLES-12-SP0	GM			3.12.55-52.42-default	1315	8741	prod		dbench4_async_ext3	12416
12245	2016-03-30 04:10:33	ix64ph1054	hamsta-default	x86_64	SLES-12-SP0	GM			3.12.55-52.42-default	1315	8732	prod		dbench4_async_ext3	12406
12235	2016-03-30 02:36:11	ix64ph1054	hamsta-default	x86_64	SLES-12-SP0	GM			3.12.55-52.42-default	1315	8724	prod		dbench4_async_ext3	12396
12187	2016-03-29 20:28:20	ix64ph1054	hamsta-default	x86_64	SLES-12-SP0	GM			3.12.55-52.42-default	1315	8693	prod		dbench4_async_ext3	12348
12175	2016-03-29 18:54:54	ix64ph1054	hamsta-default	x86_64	SLES-12-SP0	GM			3.12.55-52.42-default	1315	8686	prod		dbench4_async_ext3	12336
12159	2016-03-29 17:21:11	ix64ph1054	hamsta-default	x86_64	SLES-12-SP0	GM			3.12.55-52.42-default	1315	8678	prod		dbench4_async_ext3	12320
12293	2016-03-30 10:16:51	ix64ph1054	hamsta-default	x86_64	SLES-12-SP0	GM			3.12.55-52.42-default	1315	8779	prod		dbench4_async_ext4	12454
12277	2016-03-30 08:45:08	ix64ph1054	hamsta-default	x86_64	SLES-12-SP0	GM			3.12.55-52.42-default	1315	8763	prod		dbench4_async_ext4	12438
12267	2016-03-30 07:13:28	ix64ph1054	hamsta-default	x86_64	SLES-12-SP0	GM			3.12.55-52.42-default	1315	8753	prod		dbench4_async_ext4	12428
12222	2016-03-30 01:02:59	ix64ph1054	hamsta-default	x86_64	SLES-12-SP0	GM			3.12.55-52.42-default	1315	8717	prod		dbench4_async_ext4	12383
12213	2016-03-29 23:31:26	ix64ph1054	hamsta-default	x86_64	SLES-12-SP0	GM			3.12.55-52.42-default	1315	8711	prod		dbench4_async_ext4	12374
12198	2016-03-29 21:59:59	ix64ph1054	hamsta-default	x86_64	SLES-12-SP0	GM			3.12.55-52.42-default	1315	8700	prod		dbench4_async_ext4	12359
12935	2016-04-01 07:28:35	ix64ph1054	hamsta-default	x86_64	SLES-12-SP0	GM			3.12.55-52.42-default	1352	9035	prod		dbench4_fsync_ext3	13096
12904	2016-04-01 05:57:00	ix64ph1054	hamsta-default	x86_64	SLES-12-SP0	GM			3.12.55-52.42-default	1352	9016	prod		dbench4_fsync_ext3	13065
12862	2016-04-01 04:25:06	ix64ph1054	hamsta-default	x86_64	SLES-12-SP0	GM			3.12.55-52.42-default	1352	9002	prod		dbench4_fsync_ext3	13023
12719	2016-03-31 22:18:20	ix64ph1054	hamsta-default	x86_64	SLES-12-SP0	GM			3.12.55-52.42-default	1320	8986	prod		dbench4_fsync_ext3	12880
12699	2016-03-31 20:46:28	ix64ph1054	hamsta-default	x86_64	SLES-12-SP0	GM			3.12.55-52.42-default	1320	8975	prod		dbench4_fsync_ext3	12860
12679	2016-03-31 19:14:35	ix64ph1054	hamsta-default	x86_64	SLES-12-SP0	GM			3.12.55-52.42-default	1320	8970	prod		dbench4_fsync_ext3	12840
12982	2016-04-01 12:02:57	ix64ph1054	hamsta-default	x86_64	SLES-12-SP0	GM			3.12.55-52.42-default	1352	9065	prod		dbench4_fsync_ext4	13143
12968	2016-04-01 10:31:03	ix64ph1054	hamsta-default	x86_64	SLES-12-SP0	GM			3.12.55-52.42-default	1352	9056	prod		dbench4_fsync_ext4	13129
12950	2016-04-01 08:59:42	ix64ph1054	hamsta-default	x86_64	SLES-12-SP0	GM			3.12.55-52.42-default	1352	9045	prod		dbench4_fsync_ext4	13111
12825	2016-04-01 02:53:23	ix64ph1054	hamsta-default	x86_64	SLES-12-SP0	GM			3.12.55-52.42-default	1352	8999	prod		dbench4_fsync_ext4	12986
12788	2016-04-01 01:21:36	ix64ph1054	hamsta-default	x86_64	SLES-12-SP0	GM			3.12.55-52.42-default	1320	8996	prod		dbench4_fsync_ext4	12949
12749	2016-03-31 23:50:03	ix64ph1054	hamsta-default	x86_64	SLES-12-SP0	GM			3.12.55-52.42-default	1320	8994	prod		dbench4_fsync_ext4	12910
11504	2016-03-26 15:17:11	ix64ph1054	hamsta-default	x86_64	SLES-12-SP0	GM			3.12.55-52.42-default	1295	8201	prod		kernbench	11665
11502	2016-03-26 15:01:19	ix64ph1054	hamsta-default	x86_64	SLES-12-SP0	GM			3.12.55-52.42-default	1295	8198	prod		kernbench	11663
11501	2016-03-26 14:45:33	ix64ph1054	hamsta-default	x86_64	SLES-12-SP0	GM			3.12.55-52.42-default	1295	8198	prod		kernbench	11662
11499	2016-03-26 14:29:56	ix64ph1054	hamsta-default	x86_64	SLES-12-SP0	GM			3.12.55-52.42-default	1295	8315	prod		kernbench	11660
11498	2016-03-26 14:13:56	ix64ph1054	hamsta-default	x86_64	SLES-12-SP0	GM			3.12.55-52.42-default	1295	8201	prod		kernbench	11659
11497	2016-03-26 13:58:12	ix64ph1054	hamsta-default	x86_64	SLES-12-SP0	GM			3.12.55-52.42-default	1295	8198	prod		kernbench	11658
11285	2016-03-26 00:32:12	ix64ph1054	hamsta-default	x86_64	SLES-12-SP0	GM			3.12.55-52.42-default	1290	8198	prod		libmicro-contextswitch	11446
11263	2016-03-25 23:46:49	ix64ph1054	hamsta-default	x86_64	SLES-12-SP0	GM			3.12.55-52.42-default	1290	8198	prod		libmicro-contextswitch	11424
11240	2016-03-25 23:03:59	ix64ph1054	hamsta-default	x86_64	SLES-12-SP0	GM			3.12.55-52.42-default	1290	8198	prod		libmicro-contextswitch	11401
11218	2016-03-25 22:21:15	ix64ph1054	hamsta-default	x86_64	SLES-12-SP0	GM			3.12.55-52.42-default	1290	8203	prod		libmicro-contextswitch	11379
11195	2016-03-25 21:40:01	ix64ph1054	hamsta-default	x86_64	SLES-12-SP0	GM			3.12.55-52.42-default	1290	8198	prod		libmicro-contextswitch	11356
11169	2016-03-25 21:00:08	ix64ph1054	hamsta-default	x86_64	SLES-12-SP0	GM			3.12.55-52.42-default	1290	8198	prod		libmicro-contextswitch	11330
11142	2016-03-25 20:21:48	ix64ph1054	hamsta-default	x86_64	SLES-12-SP0	GM			3.12.55-52.42-default	1290	8203	prod		libmicro-contextswitch	11303
11120	2016-03-25 19:45:09	ix64ph1054	hamsta-default	x86_64	SLES-12-SP0	GM			3.12.55-52.42-default	1290	8201	prod		libmicro-contextswitch	11281
11104	2016-03-25 19:08:14	ix64ph1054	hamsta-default	x86_64	SLES-12-SP0	GM			3.12.55-52.42-default	1290	8198	prod		libmicro-contextswitch	11265
11090	2016-03-25 18:33:27	ix64ph1054	hamsta-default	x86_64	SLES-12-SP0	GM			3.12.55-52.42-default	1290	8201	prod		libmicro-contextswitch	11251
13086	2016-04-01 21:22:49	ix64ph1054	hamsta-default	x86_64	SLES-12-SP0	GM			3.12.55-52.42-default	1367	9065	prod		libmicro-file	13247
13080	2016-04-01 21:07:45	ix64ph1054	hamsta-default	x86_64	SLES-12-SP0	GM			3.12.55-52.42-default	1367	9065	prod		libmicro-file	13241
13072	2016-04-01 20:53:33	ix64ph1054	hamsta-default	x86_64	SLES-12-SP0	GM			3.12.55-52.42-default	1367	9065	prod		libmicro-file	13233
13064	2016-04-01 20:39:43	ix64ph1054	hamsta-default	x86_64	SLES-12-SP0	GM			3.12.55-52.42-default	1367	9065	prod		libmicro-file	13225
13058	2016-04-01 20:26:46	ix64ph1054	hamsta-default	x86_64	SLES-12-SP0	GM			3.12.55-52.42-default	1367	9065	prod		libmicro-file	13219
13053	2016-04-01 20:14:23	ix64ph1054	hamsta-default	x86_64	SLES-12-SP0	GM			3.12.55-52.42-default	1367	9065	prod		libmicro-file	13214
13045	2016-04-01 20:02:26	ix64ph1054	hamsta-default	x86_64	SLES-12-SP0	GM			3.12.55-52.42-default	1367	9065	prod		libmicro-file	13206
13040	2016-04-01 19:51:14	ix64ph1054	hamsta-default	x86_64	SLES-12-SP0	GM			3.12.55-52.42-default	1367	9065	prod		libmicro-file	13201
